E	DD = 0	DD = 0.05	DD = 0.1	DD = 0.15	DD = 0.2	DD = 0.25
0.6132	2.53345	2.70357	2.91273	1.62359	0.1506	0.00376
0.6104	2.52749	2.69686	2.90535	1.62078	0.15032	0.00375
0.6076	2.52157	2.69019	2.89801	1.61798	0.15005	0.00374
0.6048	2.51568	2.68358	2.89071	1.6152	0.14978	0.00373
0.602	2.50984	2.67701	2.88346	1.61243	0.14951	0.00373
0.5992	2.50404	2.67048	2.87625	1.60968	0.14925	0.00372
0.5964	2.49827	2.664	2.86909	1.60694	0.14898	0.00371
0.5936	2.49255	2.65757	2.86196	1.60421	0.14872	0.00371
0.5908	2.48687	2.65119	2.85488	1.6015	0.14846	0.0037
0.588	2.48122	2.64485	2.84784	1.5988	0.1482	0.00369
0.5852	2.47562	2.63856	2.84084	1.59611	0.14794	0.00369
0.5824	2.47006	2.63232	2.83387	1.59344	0.14768	0.00368
0.5796	2.46453	2.62612	2.82695	1.59078	0.14743	0.00367
0.5768	2.45905	2.61997	2.82006	1.58813	0.14717	0.00367
0.574	2.4536	2.61386	2.8132	1.5855	0.14692	0.00366
0.5712	2.4482	2.6078	2.80639	1.5829	0.14667	0.00365
0.5684	2.44284	2.60179	2.7996	1.58032	0.14642	0.00365
0.5656	2.43751	2.59582	2.79285	1.57775	0.14617	0.00364
0.5628	2.43223	2.5899	2.78613	1.5752	0.14593	0.00363
0.56	2.42699	2.58403	2.77945	1.57266	0.14568	0.00363
0.5572	2.42178	2.5782	2.77279	1.57013	0.14544	0.00362
0.5544	2.41662	2.57242	2.76617	1.56762	0.1452	0.00361
0.5516	2.41149	2.56669	2.75958	1.56512	0.14495	0.00361
0.5488	2.40641	2.56095	2.75301	1.56263	0.14472	0.0036
0.546	2.40137	2.5552	2.74647	1.56015	0.14448	0.00359
0.5432	2.39636	2.5495	2.74002	1.55769	0.14424	0.00359
0.5404	2.39134	2.54382	2.73367	1.55524	0.144	0.00358
0.5376	2.38623	2.53819	2.72737	1.5528	0.14377	0.00357
0.5348	2.38115	2.53259	2.72109	1.55037	0.14354	0.00357
0.532	2.3761	2.52702	2.71486	1.54795	0.14331	0.00356
0.5292	2.37108	2.52149	2.70866	1.54555	0.14308	0.00356
0.5264	2.36608	2.51599	2.7025	1.54316	0.14285	0.00355
0.5236	2.36112	2.51053	2.69637	1.54077	0.14262	0.00354
0.5208	2.35618	2.50509	2.69027	1.5384	0.14239	0.00354
0.518	2.35128	2.4997	2.68421	1.53604	0.14217	0.00353
0.5152	2.3464	2.49433	2.67818	1.53369	0.14194	0.00353
0.5124	2.34155	2.489	2.67219	1.53136	0.14172	0.00352
0.5096	2.33674	2.48369	2.66622	1.52903	0.14149	0.00351
0.5068	2.33195	2.47842	2.66029	1.52671	0.14127	0.00351
0.504	2.32719	2.47318	2.65439	1.5244	0.14105	0.0035
0.5012	2.32246	2.46797	2.64851	1.5221	0.14083	0.0035
0.4984	2.31775	2.4628	2.64267	1.51981	0.14062	0.00349
0.4956	2.31308	2.45765	2.63686	1.51753	0.1404	0.00348
0.4928	2.30844	2.45253	2.63108	1.51526	0.14018	0.00348
0.49	2.30382	2.44744	2.62532	1.513	0.13997	0.00347
0.4872	2.29924	2.44238	2.61959	1.51075	0.13975	0.00347
